Search Query,Title,Job Link,Tags,Client Spent,Payment Info,Payment Verified/Unverified,Description,Posted Time
Machine Learning Data Science,Enhance exsting mobile application with machine learning involve,https://www.upwork.com/jobs/Enhance-exsting-mobile-application-with-span-class-highlight-machine-span-span-class-highlight-learning-span-involve_~021944075230267017832/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Flask, Python, OpenCV, Algorithm Development, Computer Vision","$0
spent","Est. budget:
$3,000.00",Payment unverified,I am looking for a developer who can continue working on my existing mobile app. The project requires a high level of accuracy and involves features related to training using CNN (Convolutional Neural Networks) and OMR (Optical Mark Recognition).,2025-07-12 21:44:20
Machine Learning Data Science,Code writing in deep learning,https://www.upwork.com/jobs/Code-writing-deep-span-class-highlight-learning-span_~021944070013784808223/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Machine Learning Model, Data Science, Data Visualization","$0
spent","Est. time:
Less than 1 month, Less than 30 hrs/week",Payment unverified,"We can discuss in message, you might have need knowledge of scipy library, we can discuss about it in a meeting.",2025-07-12 21:23:22
Machine Learning Data Science,Chatbot Developer for Advanced AI Assistant,https://www.upwork.com/jobs/Chatbot-Developer-for-Advanced-Assistant_~021944069412917205791/?referrer_url_path=/nx/search/jobs/,"Chatbot, Artificial Intelligence, Chatbot Development, API, Lead Generation Chatbot","$600+
spent","Est. time:
1 to 3 months, Less than 30 hrs/week",Payment verified,"We are a digital consulting agency looking for an experienced chatbot developer for a client project. The primary task is to set up an advanced AI-powered chatbot for a client's website using a modern no-code platform (e.g., UChat, Botpress, ManyChat, or similar). The main functions of the chatbot will be: FAQ Automation: Answering 15-20 frequently asked questions. Complex Dialogue Scenarios: Creating a smooth, multi-step conversation flow to qualify the user's needs (not just simple questions). Calendar Integration: Integrating with a calendar (like Google Calendar) to book appointments automatically. Lead Capture: Collecting user contact information (Name, Email, Phone) and sending it to a specified email address. What we are looking for in a candidate: Proven experience with no-code chatbot platforms (UChat, Botpress, ManyChat, etc.). Strong understanding of API integrations (for calendar connection). Ability to build logical, multi-step conversation flows. Comfortable working with non-English content (German). You will not need to write or translate, only copy/paste the German text we provide into the chatbot builder. Good communication skills in English. To apply, please provide the following: Examples of 2-3 chatbots you have built previously. Please specify which ones included calendar integration. Your estimated fixed price for setting up one chatbot with the full functionality described above. Your estimated timeline for the setup (in business days). Your estimated hourly rate for ongoing monthly support and your typical response time for support requests. Please start your proposal with the word ""DIALOG"" so I know you have read the full description. This is a long-term collaboration opportunity. For the right candidate who consistently delivers high-quality work over the first 3-4 projects, we are open to discussing a full-time, remote role in the future. Looking forward to your proposals.",2025-07-12 21:21:25
Machine Learning Data Science,"AI Engineer/Developer Needed from Jorhat or Golaghat, Assam",https://www.upwork.com/jobs/Engineer-Developer-Needed-from-Jorhat-Golaghat-Assam_~021944068467421908201/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Artificial Intelligence, Python, TensorFlow, JavaScript","$0
spent","Est. budget:
$1,000.00",Payment unverified,"We are looking for a skilled AI engineer or developer to join our team. Ideally, candidates should be based in Jorhat or Golaghat, Assam. The role involves developing AI models, working with machine learning algorithms, and contributing to innovative projects. If you have a strong background in AI technologies and a passion for problem-solving, we would love to hear from you. Please include examples of your previous work in your application.",2025-07-12 21:17:28
Machine Learning Data Science,"Computer Vision Developer Needed for Healthcare AI MVP (Short-Term, Paid)",https://www.upwork.com/jobs/Computer-Vision-Developer-Needed-for-Healthcare-MVP-Short-Term-Paid_~021944067036236974696/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Python, Artificial Intelligence, TensorFlow, Java","$0
spent","Est. time:
Less than 1 month, Not sure",Payment unverified,"We are seeking a skilled Computer Vision Developer to join our team for a short-term project aimed at developing a Minimum Viable Product (MVP) for our healthcare AI initiative. The ideal candidate will have experience in machine learning, image processing, and AI technologies to help us create innovative solutions. You will work closely with our team to design, implement, and test computer vision models tailored for healthcare applications. If you are passionate about leveraging AI to improve healthcare outcomes, we want to hear from you!",2025-07-12 21:12:30
Machine Learning Data Science,Senior AI Engineer (Pilot Project — NLP + Computer Vision),https://www.upwork.com/jobs/Senior-Engineer-Pilot-Project-NLP-Computer-Vision_~021944066852773742165/?referrer_url_path=/nx/search/jobs/,"AI Agent Development, n8n, Make.com, Natural Language Processing, Large Language Model","$0
spent","Est. time:
More than 6 months, Less than 30 hrs/week",Payment verified,"We are seeking a Senior AI Engineer to lead a high-impact pilot project at the intersection of Natural Language Processing (NLP) and Computer Vision. You will be responsible for architecting, developing, and deploying advanced AI solutions that bridge human communication and visual understanding in a dynamic, experimental setting. This is a unique opportunity to define the technical foundation for a product in its early stages. Your work will directly influence the project's trajectory, with the potential to evolve into a production-scale deployment. What We Offer: - A chance to work on a cutting-edge pilot that could shape the future of human-AI interaction. - Autonomy and influence in a startup-style environment backed by committed funding. - Access to advanced compute resources and the latest AI toolchains. - Competitive compensation and flexible work arrangements. Apply now if you're passionate about pushing boundaries with AI and want to help shape something transformative from the ground up.",2025-07-12 21:11:32
Machine Learning Data Science,Freelancers needed to join Upwork Agency,https://www.upwork.com/jobs/Freelancers-needed-join-Upwork-Agency_~021944061796720625237/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Security Analysis, Artificial Intelligence","$8K+
spent","Est. time:
More than 6 months, 30+ hrs/week",Payment verified,Hello ! We're looking for experts in AI/ML and experts in Cybersecurity to join our Upwork Agencies You must be: 1. Top Rated - Top Rated Plus 2. Have a very good profile (client reviews) 3. Full-Time Freelancer (or at least dedicated enough time on Upwork) You will have the opportunity of: 1. Being an Agency Business Manager 2. Expand your network of clients 3. Land full time jobs 4. Send Proposals for free using the agency connects 5. Enhance your job history and strengthening your profile Thanks,2025-07-12 20:51:34
Machine Learning Data Science,AI/Machine Learning Engineer,https://www.upwork.com/jobs/span-class-highlight-Machine-span-span-class-highlight-Learning-span-Engineer_~021944055627344218728/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Machine Vision, Artificial Intelligence, TensorFlow, Natural Language Processing","$50K+
spent","Est. time:
1 to 3 months, Less than 30 hrs/week",Payment verified,"Summary We are looking for a talented AI/ML Engineer to join our team and help integrate intelligent machine learning solutions into our applications. In this role, you’ll collaborate closely with developers and designers to bring innovative, data-driven features to life — all while upholding the highest standards of privacy, security, and compliance. If you’re passionate about building robust systems that solve real-world problems and are eager to work on products that handle sensitive user responsibly, we’d love to connect. Key Responsibilities Design and develop models and pipelines to power advanced product features and drive insights. Work closely with engineering and UI/UX teams to integrate AI capabilities seamlessly into user-facing applications. Ensure compliance with privacy standards and security best practices, including maintaining rigorous safeguards around sensitive health or personal (HIPAA and beyond). Implement secure processing workflows, with careful attention to access controls, encryption, and minimization. Deploy and monitor models in production environments, maintaining high levels of reliability and accuracy. Stay current on the latest developments in AI, privacy, and security to continuously improve our approaches. Relevant Skills & Qualifications Experience with frameworks (TensorFlow, PyTorch, scikit-) and libraries (Pandas, NumPy). Solid grasp of privacy-preserving techniques ( anonymization, secure pipelines) and awareness of regulatory requirements such as HIPAA. Strong programming skills in Python, with experience building scalable pipelines. Familiarity with secure cloud environments (AWS, GCP, Azure) and deploying APIs or services. Understanding of best practices in securing sensitive , including encryption and auditability. Excellent collaboration and communication skills, with a willingness to work across engineering and design teams.",2025-07-12 20:46:37
Machine Learning Data Science,Build a GPT-Powered RAG MVP (LangChain + Vector Search) – Full-Stack Dev,https://www.upwork.com/jobs/Build-GPT-Powered-RAG-MVP-LangChain-Vector-Search-Full-Stack-Dev_~021944055097308863263/?referrer_url_path=/nx/search/jobs/,"LangChain, Git, Python, API, Streamlit","$0
spent","Est. budget:
$10,000.00",Payment verified,"Overview: We're building an AI assistant for accountants that uses Retrieval-Augmented Generation (RAG) to help users find answers to complex financial reporting and bookkeeping questions. You’ll be building the MVP using LLM APIs (OpenAI or Claude), vector search (FAISS or Pinecone), and frameworks like LangChain or LlamaIndex to create a working RAG pipeline. What You'll Do: 1. Design and implement a full RAG pipeline: - Ingest PDFs - Chunk and embed content - Store/retrieve via vector DB - Pass to GPT-4 for response generation 2. Build a basic chat UI or API interface 3. Add logging and prompt experimentation tools Tech Stack: - Python - LangChain / LlamaIndex - OpenAI or Claude API - FAISS / Pinecone / Weaviate - Streamlit or Gradio - Git + version control best practices Ideal Candidate: 1. 3+ years experience with Python and backend development 2. Has used LangChain, LlamaIndex, or similar in real projects 3. Built a product using OpenAI/Claude APIs before 4. Comfortable working remotely and independently 5. Bonus: previous work with accounting or legal tech",2025-07-12 20:46:40
Machine Learning Data Science,AI Engineer Needed for Custom Machine Learning Model Development,https://www.upwork.com/jobs/Engineer-Needed-for-Custom-span-class-highlight-Machine-span-span-class-highlight-Learning-span-Model-Development_~021943932921013570152/?referrer_url_path=/nx/search/jobs/,Machine Learning,"$500K+
spent","Est. budget:
$300.00",Payment verified,"We are looking for a skilled AI Engineer to develop a custom machine learning model tailored to our business needs. The ideal candidate has experience with deep learning, data preprocessing, and deploying models in production environments. You will work closely with our team to define requirements and deliver a scalable, efficient solution. Experience with Python, TensorFlow or PyTorch is required. This is a great opportunity for someone like Nolan who thrives in solving complex AI challenges with creative solutions.",2025-07-12 12:46:42
