Search Query,Title,Job Link,Tags,Client Spent,Payment Info,Payment Verified/Unverified,Description,Posted Time
Machine Learning Data Science,AI Engineer with experience in langgraph + Tooling,https://www.upwork.com/jobs/Engineer-with-experience-langgraph-Tooling_~021945078596389602374/?referrer_url_path=/nx/search/jobs/,"AI Agent Development, LangChain, AI Development, Python, Artificial Intelligence","$10K+
spent","Est. time:
1 to 3 months, Less than 30 hrs/week",Payment verified,"I am looking for a skilled AI Engineer that has experience with langchain, langgraph and composio.dev We would like to integrate composio.dev to our agent platform. Only apply if you have experience with langchain, langgraph and composio.dev and/or other tooling platforms",2025-07-15 16:11:44
Machine Learning Data Science,Python Developer for Amazon Review Data Processing,https://www.upwork.com/jobs/Python-Developer-for-Amazon-Review-span-class-highlight-Data-span-Processing_~021945077412185294421/?referrer_url_path=/nx/search/jobs/,"Data Science, Data Analysis, Python, Amazon Web Services, Amazon S3","$0
spent","Est. time:
1 to 3 months, Less than 30 hrs/week",Payment verified,"We are seeking an experienced Python developer to help us process and analyze Amazon review data. The ideal candidate should be proficient in data scraping techniques and have a strong understanding of data analysis methodologies. You will be responsible for extracting relevant information from Amazon reviews, cleaning the , and performing insightful analysis. If you have a passion for turning raw into actionable insights and have prior experience with similar projects, we want to hear from you!",2025-07-15 16:06:46
Machine Learning Data Science,AI Automation Expert,https://www.upwork.com/jobs/Automation-Expert_~021945077011428435666/?referrer_url_path=/nx/search/jobs/,Automation,"$3K+
spent","Est. budget:
$300.00",Payment verified,"I'm looking for an automation expert who can help me build a system to help me ""conduct interviews"". Here's the goal: I want to create 1000 copies of my ideal customers and then have each of the copies answer a 10-50 questions survey, then analyse all the answers. So here's what I'd need the automation to do: 1) I can generate the initial customer profile manually. 2) The AI generates 1000 permutation of this initial customer profile 3) Somehow, each of the customer copies answers the survey's questions and it all gets tracked into a spreadsheet (or equivalent) I guess the challenge here is how to store the different permutations of the initial customer profile (spreadsheet?) as well as how to make it so that EACH permutation answers the questions. I am not even sure this can be achieved, so curious to understand more from an expert!",2025-07-15 16:05:48
Machine Learning Data Science,Mathematical Trading Model Developer,https://www.upwork.com/jobs/Mathematical-Trading-Model-Developer_~021945030675823380053/?referrer_url_path=/nx/search/jobs/,"Data Science, Machine Learning, Python, Algorithm Development, Mathematical Modeling","$0
spent","Est. time:
1 to 3 months, Less than 30 hrs/week",Payment verified,"I am seeking a skilled professional to assist in the development of a mathematical trading model. The ideal candidate should have a strong background in quantitative finance and be proficient in statistical analysis and programming. This project involves analyzing market , creating algorithms, and testing models to optimize trading strategies. If you have experience in financial modeling and a passion for trading, I would love to hear from you.",2025-07-15 16:00:50
Machine Learning Data Science,"AI-Powered Weekly Report: Inventory, Demand, and Market Pricing for Electronic Components",https://www.upwork.com/jobs/Powered-Weekly-Report-Inventory-Demand-and-Market-Pricing-for-Electronic-Components_~021945075298843280981/?referrer_url_path=/nx/search/jobs/,"Data Visualization, Python, Artificial Intelligence, API, LLM Prompt Engineering","$0
spent","Est. time:
1 to 3 months, Not sure",Payment unverified,"Project Title: AI-Powered Weekly Report: Inventory, Demand, and Market Pricing for Electronic Components Project Description: We are an electronic components broker seeking a technically proficient freelancer to build and maintain an AI-enhanced weekly reporting pipeline. The report will consolidate internal inventory, customer demand, and market (Octopart & Z2 ), using AI/ to match parts, predict trends, and highlight opportunities. Your Responsibilities: - Use AI/ models or LLMs (e.g. GPT, LangChain, OpenAI, or similar) to: - Match similar part numbers, even when naming conventions vary - Cross-reference our inventory and customer requirements - Analyze and rank sourcing opportunities by margin, availability, and obsolescence risk Integrate with: - Octopart API for live pricing, specs, and availability - Z2 for lifecycle status, sourcing risk, and compliance insights Generate a weekly report (Excel, PDF, or dashboard) with: - Matched inventory-demand pairs - Suggested pricing/quote positions vs. market - Flagged risks (e.g., EOL, counterfeit risk, or rapid price shifts) - Inventory value insights and aging stock Preferred Skills: - Python (Pandas, NumPy, OpenAI API, LangChain, scikit-) - Experience with AI/LLM prompt engineering or matching logic - Familiarity with Octopart & Z2 APIs (or willingness to ramp up quickly) - visualization (Streamlit, Power BI, or Excel automation) - Familiarity with electronics part taxonomy, BOM structures, or ERP systems Bonus: - Experience building recommendation engines or product matching tools - Knowledge of HTN, CPN, or part-cross reference in electronics Engagement Type: - Start with a trial sprint to build the reporting workflow - Potential for ongoing work (weekly updates, automation refinement, new features)",2025-07-15 15:58:52
Machine Learning Data Science,Need Data Science Consultant – Behavioral Analysis,https://www.upwork.com/jobs/Need-span-class-highlight-Data-span-span-class-highlight-Science-span-Consultant-Behavioral-Analysis_~021945075141754013269/?referrer_url_path=/nx/search/jobs/,"Data Science, Machine Learning, Data Analysis, Quantitative Analysis, R","$8K+
spent","Est. budget:
$10.00",Payment verified,"We are seeking a Data Science Consultant to support a behavior analysis project. The role involves analyzing behavioral datasets to uncover patterns and actionable insights. You will collaborate with psychologists and researchers to build predictive models and validate hypotheses. Proficiency in Python, visualization, and is required. Experience with behavioral or psychological is a strong plus.",2025-07-15 15:57:54
Machine Learning Data Science,Building a AI agent,https://www.upwork.com/jobs/Building-agent_~021945073229448797357/?referrer_url_path=/nx/search/jobs/,Artificial Intelligence,"$86
spent","Est. budget:
$30.00",Payment verified,Building a AI agent that can make 100 videos a day around my niche,2025-07-15 15:49:56
Machine Learning Data Science,OCR/Computer Vision Developer Needed: Parse Construction Estimates (PDF/Scans) to Structured Data,https://www.upwork.com/jobs/OCR-Computer-Vision-Developer-Needed-Parse-Construction-Estimates-PDF-Scans-Structured-span-class-highlight-Data-span_~021945052514595098607/?referrer_url_path=/nx/search/jobs/,"Machine Learning, Data Scraping, Python, Computer Vision, OCR Algorithm, Camelot","$5K+
spent","Est. time:
1 to 3 months, 30+ hrs/week",Payment verified,"Project Goal: We need to develop or configure a pipeline that: Takes construction estimate documents (PDFs or scanned copies) as input; Extracts tables with sections, line items, quantities, units, and prices; Outputs the results in a structured format (JSON or CSV) for further calculation and integration with a supplier’s API. Project Context: We’re building a module for a web/mobile application that calculates renovation budgets and instantly recommends material purchases from partner suppliers. Right now, we have several real examples of estimate files in different formats (PDFs and scans). Your task is to help us test the best OCR/CV approach (Tesseract, Google Cloud Vision, Azure Form Recognizer, Amazon Textract, or similar) to find a cost-effective and robust solution. Scope of Work: Analyze input files: Understand the structure, file quality, and potential edge cases. Set up OCR extraction: Configure Tesseract and/or other commercial OCR APIs to test parsing quality. Build a prototype pipeline: File upload → OCR → table parsing → export to JSON or CSV. Test and validate: Run the pipeline on at least 5–10 real estimate files, identify limitations, and measure accuracy. Provide recommendations: Suggest how to improve quality (image pre-processing, custom training, post-processing). Deliverables: A working prototype (script or simple web tool) that takes a sample file and outputs structured . Clear setup instructions for testing the pipeline. Short report with results: parsing quality, accuracy issues, what works/what doesn’t. Suggestions for further development (e.g., which API or model is best suited for production). Tech Requirements & Constraints: Python preferred (pytesseract, Camelot, Tabula, etc.), but Node.js or other tech is acceptable if justified. If proposing a commercial OCR API, please provide estimated costs and usage limits. The final solution must be delivered with clear, well-documented source code. Timeline: Ready to start immediately. Target for a first working prototype and results: 5–10 working days. What We Expect from You: Proven experience with OCR/Computer Vision and document/table parsing. Examples of similar projects (invoices, forms, construction docs, etc.). Ability to explain different options (open-source vs commercial API). Good communication skills and clear documentation of your work. What We’ll Provide: 5–10 real estimate files for testing. Expected structure and output format. Basic API info for connecting to our partner’s pricing database (if needed for test). What to Include in Your Proposal: Briefly describe your relevant experience and which tools you recommend for this task. Share how you would approach building the prototype. Attach or link any past work that shows you’ve done similar parsing/OCR tasks. Bonus: If the prototype works well, we’re open to discussing a longer-term contract for developing a custom model or full integration with our backend.",2025-07-15 15:22:59
Machine Learning Data Science,"Machine Learning Engineer / Data Generalist – Property Management Automation (Full-Time, Remote)",https://www.upwork.com/jobs/span-class-highlight-Machine-span-span-class-highlight-Learning-span-Engineer-span-class-highlight-Data-span-Generalist-Property-Management-Automation-Full-Time-Remote_~021945004429257762513/?referrer_url_path=/nx/search/jobs/,"Machine Learning, AI Agent Development, AI App Development, AI Bias Mitigation","$20K+
spent","Est. time:
More than 6 months, 30+ hrs/week",Payment verified,"We’re building a reliable, secure automation system for a large-scale property management operation (5,000+ units). This is a full-time, hands-on role for a machine learning engineer who can manage messy real-world data, fine-tune AI agents, and build automated systems that actually work in production. You’ll clean, transform, and model property management —like leases, payments, invoices, and contractor records—pulled from Yardi and internal APIs. Your models will support AI agents that handle rent collection, risk scoring, HR workflows, and more. You’ll be expected to work across the full stack, from preprocessing and training to deployment and monitoring. No planning layers, no “ only” silos. We’re looking for someone who understands that results are what matter. What You'll Be Doing: - Clean, normalize, and validate structured and semi-structured from Yardi - Build and fine-tune models to support tasks like collections follow-up and financial risk scoring - Work with LLM agents to design prompts, retrieval flows, and fallback logic - Create retraining pipelines that adapt models based on new every month - Support backend and architect teams with mapping and validation logic - Monitor model performance in production and iterate fast Examples of Core Features You’ll Help Build: - Risk scoring model that flags high-risk tenants based on lease history and payment behavior - Model that categorizes vendor invoices and detects anomalies before payment - Smart assistant prompt logic that updates based on real-time rent status - Automation for quarterly retraining based on recent Yardi exports - Internal tools to review, audit, and debug agent predictions Required Experience: - 3+ years working in , , or AI engineering - Strong Python skills, including pandas, scikit-, and ops practices - Familiar with vector databases, retrieval flows, and basic prompt engineering - Experience working with production systems, ideally from CRMs or ERPs - Able to debug fast, communicate clearly, and own the end-to-end Bonus If You Have: - Experience working with property management or Yardi exports - Hands-on experience with LLM agents (e.g. LangChain, CrewAI) - Familiarity with validation frameworks, feature stores, or audit logging Important: - Full-time only. NO AGENCIES. - Include your expected monthly salary (USD) - Be ready for an intro call within 24 hours to align the scope and timelines - Do not apply if you only want to explore research. We need builders who solve problems with and deploy",2025-07-15 11:23:00
Machine Learning Data Science,AI-Powered Career Matching Platform Development,https://www.upwork.com/jobs/Powered-Career-Matching-Platform-Development_~021945058461283829333/?referrer_url_path=/nx/search/jobs/,"Machine Learning Algorithm, Python, Google Cloud Platform, AI Chatbot","$300+
spent","Est. time:
1 to 3 months, Less than 30 hrs/week",Payment verified,"RFP: AI-Powered Career Matching Platform Development Project Overview We are seeking an experienced full-stack developer to build an AI-powered career matching system with accompanying conversational AI enhancements for an existing AI chatbot for a youth employment platform. This project consists of two main components that should be developed concurrently but costed separately. Component 1: AI-Powered Matching Engine (Priority) Core Requirements • Primary Function: Match job seekers to job opportunities using AI-driven algorithms • Secondary Function: Recommend training programs based on identified skill gaps (Version 2) • Integration: Flexible ingestion system supporting CSV uploads and manual entry • Matching Algorithm: Develop AI (intelligent) matching using skills-based recommendations with explainable AI • Independence: Must function as standalone system while accepting standardized inputs from other tools Technical Specifications • Performance: Support 200,000 users within 2 months, handle 4,000+ concurrent users • Scalability: Cloud-native architecture optimized for cost-efficiency and performance • Real-time vs Batch: Developer to recommend optimal approach balancing compute costs with user experience • Explainability: Industry best practice explanations for match recommendations • Analytics: Basic usage metrics (completion rates, success metrics, internal improvement insights) Requirements • Input Format: Standardized CSV templates for job postings, user profiles, and training programs • Flexibility: System should guide users through formatting and upload processes • Storage: Secure handling with appropriate privacy controls Component 2: Conversational AI Enhancement (AI chatbot Improvements) The AI chatbot code being modified is opensource and can be found here = https://docs.tabiya.org/our-tech-stack/compass/technical-overview Current System Limitations • Rigid two-agent workflow: Agent 1 collects ALL experiences before Agent 2 explores them • Limited conversation history (context window) (only last 10 experiences) • Poor user experience due to inflexible conversation flow • Built on Gemini 2.0 Enhancement Requirements • Flexible Agent Interaction: Enable simultaneous experience collection and exploration • Extended Memory: Improve conversation history retention beyond current 10-experience limit • Seamless UX: Create more natural, flowing conversations while maintaining quality • Integration: Enhanced system ourput must feed effectively into the matching engine (can be manual/bulk .csv) in first version Technical Constraints • Existing System: Built with agentic workflows, multi-stage skills pipeline • LLM Integration: Currently uses Gemini models with specific prompt engineering • Architecture: Agent-based system with internal state management Required Technology Stack Must maintain consistency with existing infrastructure: • Backend: Python 3.11, FastAPI, Pydantic 2.7 • Frontend: React.js 19, TypeScript 5, Material UI 5 • Database: MongoDB Atlas (with vector search capabilities) • Cloud Platform: Google Cloud Platform • Deployment: Pulumi infrastructure as code • LLM: Gemini model family (gemini-2.0, textembedding-gecko v3) • Monitoring: Sentry for error tracking and performance monitoring Project Requirements Documentation • Comprehensive Documentation: Extensive technical documentation required for open-source release • API Documentation: Complete API specifications and integration guides • Deployment Guides: Step-by-step deployment and configuration instructions • Code Comments: Well-documented codebase following open-source standards Licensing & Open Source • License: All code must be developed under MIT open-source license • Code Quality: Production-ready code following industry best practices • Community Readiness: Code must be suitable for community contributions Timeline & Deliverables • Target Timeline: MVP with user testing capability – developer to propose timelines • Milestone 1: Technical architecture and development plan • Milestone 2: Core matching engine • Milestone 3: Existing AI chatbot enhancements • Milestone 4: Integration, testing, and documentation Proposal Requirements Technical Approach 1. Architecture Design: Detailed technical architecture for both components 2. Scalability Strategy: Approach to handle specified user load and growth 3. Cost Optimization: Strategy for balancing compute costs with performance 4. Integration Plan: How matching engine will integrate with existing systems (aim for manual/bulk in this version). No API needed 5. Real-time vs Batch Processing: Recommendation with justification Experience Requirements • AI/ Experience: Proven experience with LLM integration and prompt engineering • Matching Algorithms: Experience building recommendation or matching systems • Full-Stack Development: Strong experience with specified tech stack • Open Source: Experience with open-source development practices • Scalable Systems: Experience building systems for high concurrent usage Deliverables • Source Code: Complete, well-documented codebase • Testing Suite: Comprehensive testing framework • Documentation: Technical and user documentation • Deployment Package: Ready-to-deploy package with infrastructure code • Performance Metrics: Baseline performance benchmarks Evaluation Criteria • Technical Expertise: Demonstrated experience with required technologies • Architecture Quality: Scalability, maintainability, and performance considerations • Timeline Realism: Realistic project timeline and milestone planning • Cost-Effectiveness: Balanced approach to development and operational costs • Communication: Clear proposal and demonstrated understanding of requirements Proposal Format Please provide: 1. Technical Approach: Detailed development strategy for both components 2. Timeline: Realistic project timeline with specific milestones 3. Cost Breakdown: Separate pricing for matching engine and AI chatbot enhancements 4. Experience Portfolio: Relevant project examples and references 5. Questions: Any clarifying questions about requirements or scope Note: This project requires deep understanding of AI/ systems, conversational AI, and large-scale system architecture. Please only apply if you have substantial experience in these areas. This RFP is for a mission-driven organization. The outputs of this deliverable will contribute to open-source digital public goods that can benefit others globally",2025-07-15 15:23:04
